,Equal_Weight,Ridge_Tracker,SAE
ASML,0.05,0.05066126680402708,0.05001267
BBD,0.05,0.00024190875662855472,0.04998965
BCS,0.05,0.029083099765650263,0.049995773
BIDU,0.05,0.010538934445145712,0.049998302
HDB,0.05,0.04917535777136277,0.049999777
HMC,0.05,0.08694809120485744,0.049998455
IBN,0.05,0.0,0.049999814
INFY,0.05,0.059159263371001525,0.04999952
KB,0.05,0.025499282228771014,0.050004438
MELI,0.05,0.04239473156687101,0.04999976
MMYT,0.05,0.0,0.0
NTES,0.05,0.004987361789872111,0.049997475
NVO,0.05,0.09291014138069197,0.049999904
PBR,0.05,0.0,0.0
RDY,0.05,0.03358450755100956,0.0
SAP,0.05,0.11159070288953725,0.05000891
SHEL,0.05,0.07404963226040269,0.04999919
SKM,0.05,0.06346745162371187,0.04999061
SONY,0.05,0.04895753716111875,0.04999808
TM,0.05,0.11354901673732415,0.049999956
TSM,0.0,0.06482921087910416,0.050006956
UMC,0.0,0.0,0.04999762
VALE,0.0,0.002746512545421717,0.0
WIT,0.0,0.035625989267490485,0.050003152
